,key,thread,worker,prefix,group,start,finish,stimulus_id,called_from,begins,ends,duration,size,time
29,"('mul-77b98ebe198d5df46ca992041164c8ec', 5, 0, 0)",,,mul,mul-77b98ebe198d5df46ca992041164c8ec,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.400997
30,"('chunk_min-af7e022d985b391b53eb41df5aaf6406', 5, 0, 0)",,,chunk_min,chunk_min-af7e022d985b391b53eb41df5aaf6406,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4051144
31,"('rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 4, 0, 0)",,,rechunk-split-rechunk-merge,rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.409313
32,"('rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 4, 0, 0)",,,rechunk-merge,rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4136798
33,"('random_sample-c174146ff8964021504e2af2c920de85', 4, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.417762
34,"('random_sample-c174146ff8964021504e2af2c920de85', 4, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,waiting,processing,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4219115
35,"('add-52995fce93ff355636fb897843eefa3e', 4, 0, 0)",,,add,add-52995fce93ff355636fb897843eefa3e,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4262471
36,"('chunk_min-ce55fed4cb00e797a3e767e8d9366298', 5, 0, 0)",,,chunk_min,chunk_min-ce55fed4cb00e797a3e767e8d9366298,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.430393
37,"('chunk_min-ce55fed4cb00e797a3e767e8d9366298', 4, 0, 0)",,,chunk_min,chunk_min-ce55fed4cb00e797a3e767e8d9366298,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4344983
38,"('chunk_min-partial-2fc35a3958451b40e6cc2e47637740be', 2, 0, 0)",,,chunk_min-partial,chunk_min-partial-2fc35a3958451b40e6cc2e47637740be,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4386928
39,"('chunk_min-partial-6038e3df59e15ad4d497ebd19f5de02b', 1, 0, 0)",,,chunk_min-partial,chunk_min-partial-6038e3df59e15ad4d497ebd19f5de02b,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4428697
40,"('chunk_max-ef72cf60915bddcd0b89de732722f19d', 5, 0, 0)",,,chunk_max,chunk_max-ef72cf60915bddcd0b89de732722f19d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4474468
41,"('mul-77b98ebe198d5df46ca992041164c8ec', 4, 0, 0)",,,mul,mul-77b98ebe198d5df46ca992041164c8ec,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4518867
42,"('chunk_max-ef72cf60915bddcd0b89de732722f19d', 4, 0, 0)",,,chunk_max,chunk_max-ef72cf60915bddcd0b89de732722f19d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.45613
43,"('chunk_max-partial-12c7b07dde288d2291a26129193a9530', 2, 0, 0)",,,chunk_max-partial,chunk_max-partial-12c7b07dde288d2291a26129193a9530,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4604096
44,"('chunk_max-partial-28fa6340d780fc3bf2b10eca8c44428f', 1, 0, 0)",,,chunk_max-partial,chunk_max-partial-28fa6340d780fc3bf2b10eca8c44428f,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.464917
45,"('chunk_min-af7e022d985b391b53eb41df5aaf6406', 4, 0, 0)",,,chunk_min,chunk_min-af7e022d985b391b53eb41df5aaf6406,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.469218
46,"('chunk_min-partial-d186507a51f2d2eeb1fe03c28b1da4da', 2, 0, 0)",,,chunk_min-partial,chunk_min-partial-d186507a51f2d2eeb1fe03c28b1da4da,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4734116
47,"('chunk_min-partial-b4fd43a145ef23923e76a612cf246b05', 1, 0, 0)",,,chunk_min-partial,chunk_min-partial-b4fd43a145ef23923e76a612cf246b05,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4779863
48,"('rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 3, 0, 0)",,,rechunk-split-rechunk-merge,rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.482315
49,"('rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 3, 0, 0)",,,rechunk-merge,rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.486771
50,"('random_sample-c174146ff8964021504e2af2c920de85', 3, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.491317
51,"('random_sample-c174146ff8964021504e2af2c920de85', 3, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,waiting,processing,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.495636
52,"('add-52995fce93ff355636fb897843eefa3e', 3, 0, 0)",,,add,add-52995fce93ff355636fb897843eefa3e,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.4999375
53,"('mul-77b98ebe198d5df46ca992041164c8ec', 3, 0, 0)",,,mul,mul-77b98ebe198d5df46ca992041164c8ec,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5044436
54,"('chunk_min-af7e022d985b391b53eb41df5aaf6406', 3, 0, 0)",,,chunk_min,chunk_min-af7e022d985b391b53eb41df5aaf6406,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5087008
55,"('rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 2, 0, 0)",,,rechunk-split-rechunk-merge,rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5129085
56,"('rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 2, 0, 0)",,,rechunk-merge,rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5174768
57,"('random_sample-c174146ff8964021504e2af2c920de85', 2, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5211594
58,"('random_sample-c174146ff8964021504e2af2c920de85', 2, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,waiting,processing,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5232592
59,"('add-52995fce93ff355636fb897843eefa3e', 2, 0, 0)",,,add,add-52995fce93ff355636fb897843eefa3e,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5250745
60,"('chunk_min-ce55fed4cb00e797a3e767e8d9366298', 3, 0, 0)",,,chunk_min,chunk_min-ce55fed4cb00e797a3e767e8d9366298,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5268397
61,"('chunk_min-ce55fed4cb00e797a3e767e8d9366298', 2, 0, 0)",,,chunk_min,chunk_min-ce55fed4cb00e797a3e767e8d9366298,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5287063
62,"('chunk_min-partial-2fc35a3958451b40e6cc2e47637740be', 1, 0, 0)",,,chunk_min-partial,chunk_min-partial-2fc35a3958451b40e6cc2e47637740be,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5305033
63,"('chunk_max-ef72cf60915bddcd0b89de732722f19d', 3, 0, 0)",,,chunk_max,chunk_max-ef72cf60915bddcd0b89de732722f19d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5323691
64,"('mul-77b98ebe198d5df46ca992041164c8ec', 2, 0, 0)",,,mul,mul-77b98ebe198d5df46ca992041164c8ec,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5343342
65,"('chunk_max-ef72cf60915bddcd0b89de732722f19d', 2, 0, 0)",,,chunk_max,chunk_max-ef72cf60915bddcd0b89de732722f19d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5361214
66,"('chunk_max-partial-12c7b07dde288d2291a26129193a9530', 1, 0, 0)",,,chunk_max-partial,chunk_max-partial-12c7b07dde288d2291a26129193a9530,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.537937
67,"('chunk_min-af7e022d985b391b53eb41df5aaf6406', 2, 0, 0)",,,chunk_min,chunk_min-af7e022d985b391b53eb41df5aaf6406,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5399573
68,"('chunk_min-partial-d186507a51f2d2eeb1fe03c28b1da4da', 1, 0, 0)",,,chunk_min-partial,chunk_min-partial-d186507a51f2d2eeb1fe03c28b1da4da,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.541861
69,"('rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 1, 0, 0)",,,rechunk-split-rechunk-merge,rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.544177
